Team 1,Team 2,Pitch,Runs Left,Balls Left,Wickets Remaining,Total Runs Scored,Current Run Rate,Required Run Rate,Winner
Sri Lanka,Afghanistan,2,111,91,10,164,11.17241379,7.318681319,1
Sri Lanka,England,3,41,25,6,190,9.473684211,9.84,1
Sri Lanka,India,2,41,16,4,159,6.865384615,15.375,0
Australia,Pakistan,3,106,45,5,190,6.8,14.13333333,0
Sri Lanka,Pakistan,2,161,109,10,170,5.454545455,8.862385321,0
New Zealand,Australia,3,24,0,5,246,11.15,inf,0
West Indies,Sri Lanka,1,67,76,9,124,7.909090909,5.289473684,1
Pakistan,West Indies,3,123,69,9,172,5.882352941,10.69565217,0
West Indies,Pakistan,1,88,68,10,142,6.346153846,7.764705882,1
Australia,Afghanistan,3,24,12,5,189,9.222222222,12,0
Afghanistan,Pakistan,2,69,37,6,163,6.86746988,11.18918919,0
Afghanistan,England,3,50,17,4,183,7.805825243,17.64705882,0
Afghanistan,England,3,168,108,10,183,8,9.333333333,0
England,Australia,1,77,58,7,148,6.967741935,7.965517241,0
England,Afghanistan,3,142,82,8,186,7.105263158,10.3902439,1
Afghanistan,New Zealand,1,99,96,8,141,10.75,6.1875,1
England,Pakistan,3,-3,5,4,179,9.547826087,-3.6,1
Sri Lanka,West Indies,3,191,82,8,250,9.473684211,13.97560976,0
Afghanistan,New Zealand,3,118,53,7,189,6.447761194,13.35849057,0
Pakistan,Australia,3,208,106,9,223,6.857142857,11.77358491,0
England,West Indies,2,74,46,8,160,7.054054054,9.652173913,1
West Indies,Sri Lanka,1,127,101,10,149,7.263157895,7.544554455,1
India,England,3,27,13,6,179,8.579439252,12.46153846,1
England,Pakistan,3,42,4,1,207,8.586206897,63,0
Sri Lanka,Afghanistan,1,28,48,6,120,7.75,3.5,1
West Indies,Sri Lanka,3,108,70,9,186,9.48,9.257142857,1
India,New Zealand,2,137,100,10,165,8.7,8.22,1
West Indies,England,1,51,60,10,135,8.5,5.1,1
England,West Indies,3,131,78,9,177,6.714285714,10.07692308,1
New Zealand,Australia,2,157,118,10,156,0,7.983050847,1
Pakistan,Australia,2,97,70,9,160,7.68,8.314285714,0
West Indies,Sri Lanka,1,48,58,8,119,6.967741935,4.965517241,1
Australia,New Zealand,2,54,27,6,158,6.774193548,12,1
West Indies,Australia,1,56,46,9,139,6.810810811,7.304347826,1
Sri Lanka,New Zealand,2,98,63,8,160,6.631578947,9.333333333,1
New Zealand,Australia,2,61,52,10,156,8.470588235,7.038461538,1
India,West Indies,3,75,51,7,174,8.695652174,8.823529412,1
Pakistan,India,2,107,87,10,155,8.909090909,7.379310345,1
Australia,England,3,171,116,10,171,1.5,8.844827586,0
England,Pakistan,3,160,106,8,179,8.571428571,9.056603774,1
West Indies,Afghanistan,1,3,11,6,128,6.935779817,1.636363636,1
Afghanistan,India,3,140,96,9,183,11,8.75,0
Pakistan,India,2,130,105,10,154,10,7.428571429,1
West Indies,Sri Lanka,2,34,14,5,167,7.58490566,14.57142857,0
Pakistan,England,3,217,116,10,227,16.5,11.22413793,0
Australia,Pakistan,3,38,30,8,179,9.466666667,7.6,1
England,Sri Lanka,2,8,8,4,161,8.25,6,1
India,England,1,115,82,6,142,4.421052632,8.414634146,1
West Indies,Sri Lanka,2,62,46,5,155,7.621621622,8.086956522,1
West Indies,India,1,105,92,10,141,7.928571429,6.847826087,1
Afghanistan,Australia,2,19,5,2,150,6.886956522,22.8,0
West Indies,England,1,94,94,9,115,5.076923077,6,1
New Zealand,Sri Lanka,3,88,33,5,221,9.24137931,16,0
New Zealand,Sri Lanka,1,119,113,10,124,5.142857143,6.318584071,1
England,West Indies,2,146,99,9,160,4.285714286,8.848484848,1
Afghanistan,Pakistan,3,142,105,10,171,12,8.114285714,0
New Zealand,Sri Lanka,3,160,94,8,195,8.307692308,10.21276596,0
New Zealand,India,3,189,106,8,197,3.857142857,10.69811321,0
Sri Lanka,New Zealand,3,147,53,5,211,5.820895522,16.64150943,0
Pakistan,Australia,3,111,52,6,186,6.705882353,12.80769231,0
Afghanistan,Pakistan,2,7,3,6,158,7.794871795,14,1
Afghanistan,New Zealand,3,196,114,10,201,6,10.31578947,0
England,Sri Lanka,1,24,61,5,106,8.440677966,2.360655738,0
India,England,2,94,66,9,151,6.444444444,8.545454545,1
